No,Case
459,السلام عليكم ورحمة الله وبراكته....أنا تعرض  للهجوم  من طرف اخي .. من بعد  تعرضت لسرق  أقتحم  الباب الغرفة انا لم اكون موجود فيه وسرق منه أغرضى حاسوب وثلاجة صغيرة وفرن وعدات اشياء  تقدمت له بشكايه للمرة الأولى .. مع وقت سرق طوب بناء  فقدمت  الشكاية الثانيه عند الدرك المالكي  ونفسها عندوكيل الماليك فسمعت عنه  لقد سجن  لا اعرف عن ماذا سجن لم اتقبل معه ابدا ... وعندما خرج عاد مجدد الى بيتى وكسر الباب وسرق  ما تبقي  من حوزتي سرير وأغطية للنوم وبلاكار  الحائط .. عندم علمت بأمر عدت مجدد الى الدرك المالكى فشتكيت  .. وسألتهم عن  عدت شكيات  كنت اشتكيت به اليهم  .. قالو لي لقد نال جزأه في الحبس ..ومع العلم  انا لم اتلقى اي خبر او استدعاء في المحكم  او ؤقبله انا أعتقد احد ما يسعده  كي تكون  عقوبه  خفيفة أرجو منكم ان تخبروني  ماذا أفعل  5  شكيات  بين  سرق وعنف  وتهجم  ولم انصف...أو  اين أوضع شكييات
460,سلام إخوان أنا دابا بعت لأصل تجاري ديال لحانوت ديالي ب200000 درهم و فاش بغيت نشطب على registre de commerce قالوا ليا خاصني نخلص الضريبة فيها 2007 و 2008 و 2011 و 2012 مع العلم اني درت هاد registre de commerce حتى 2013 وخا كتبت 09 08 2006ف la date de début d'activité ف l attestation d'inscription à la taxe professionnelle شنو خاصني ندير أو واش كاينة شي 25 في المئة خاصني نخلصها على رباح
461,صباح الخير لو سمحتوا استغاثة واستشارة ضرورية من أهل القانون لو دلوقتى حد اتهجم عليا فى شقتى بالسب والضرب على مسمع و مرىء الجيران وروحت القسم بليل محدش عملى حاجة ينفع اروح النيابة اتهمه ويحضروه يتعاقب أو يتعملوامحضر عدم تعرض ولا اعمل ايه
462,سلام الله عليكم رفعت دعوى طرد ضد مستأجر منذ عامين واحيلت للخبير منذ سته أشهر حل من حل لاستعجال الخبير علما بأن عقد الإيجار من سنه ٢٠٠٢ ولم يتم تجديده
463,اخي متجوج بي قسير هدي 5 سنوات عدو معه 2 اولاد ياله سيبت لاكرط نصيونلا وداب بغاو يصيبو الكخط ويحطو الولاد في الحلا المدنيو اشمن وتأيق كطلب لأمر
464,سؤال للساده المستشارينازاي اطلع صوره رسميه من محضر سنه ٢٠١٣ قسم الزيتون
465,عفاكم بغيت شي محامي نستاشر معاه فواحد المشكل واقع ليا مع واحد المجرم ظربني بزيزوار
466,لو في محضر جنح اتعمل وبعدها كده تمام الصلح واتعمل محضر صلح وعدم تعرضوبعد كده صاحب المحضر والي اتعمل ضده راوحوا النيابة علشان صاحب المحضر يتنازل واتعمل تنازل وبعدين يومين المحضر روحنا نسال قالك لسه متحفظش ده كده معناه ايه ؟؟؟
467,#هام_جداإعرف حقك.. 13 نصيحة قانونية في الأحوال الشخصيةنلقي الضوء خلال النقاط التالية على أبرز 13 نصيحة في قانون الأحوال الشخصيه.1-سن الحضانة 15 سنة للولد والبنت، ويخير بعد هذا السن الولد حتى يبلغ والبنت حتى تتزوج، ونفقة البنت على أبيها حتى تتزوج ونفقة الولد حتى يستطيع العمل.2- النفقة بأنواعها الثلاثة تشمل ( مأكل وملبس ومسكن).3- لا يحق للحاضنة أن تجمع ما بين أجر المسكن والتمكين من مسكن الزوجية.4- لا تستحق الحاضنة أجر مسكن بعد بلوغ الصغير 15 سنة كما يسقط الحق فى أجر الرضاعة بعد بلوغ الصغير سنتين.5- يحق للزوج بعد بلوغ الصغير سن الحضانة أن يقيم دعوى استرداد مسكن الزوجية.6- بعد بلوغ الصغير سن الحضانة يخير فى الإقامة إما مع الأم أو الأب وإن اختار الأم يكون بلا أجر حضانة.7-من حق الزوجة عدم التنازل عن قائمة المنقولات الزوجية فى الخلع أو الطلاق.8- لا يجوز المطالبة بأجر المسكن أو الحضانة أو الرضاعة إلا بعد الطلاق وانتهاء العدة ويكون الحكم بأثر رجعى من تاريخ انتهاء شهور العدة.9- ترتيب الحضانة كالتالي:-“الأم ثم أم الأم ثم أم الأب ثم أخت الأم ثم أخت الأب” بشرط أن لا تكون أخت الأم أو الأب متزوجة من أجنبى عن الأولاد”.10- يحق للأم أو الحاضنة التقدم بطلب الحصول على الولاية التعليمية حتى تتمكن من نقل والتقديم للصغير بالمدارس.11- تقدر نفقة المتعة بسنتين على الأقل دون وجود حد أقصى.12- يصدر قرار التمكين بالمشاركة أن كانت العلاقة الزوجية قائمة ويعدل بعد الطلاق ليصبح للحاضنة منفردة. 13- أى تنازل عن حقوق الصغير مقابل الطلاق يعد باطلا..#منقولعلق بذكر الله
468,عند نقل ماكنات بدون فاتورة ماذا يطبق القانون علما انها عند الدرك الان
469,ما هى اسباب وقف بيانات بطاقه الرقم القوميو هل يوجد اكثر من سببوما هي طرق حل هذه المسألةشكرا جزيلا لكم
470,مساء الخير هل حد عارف او اشتغل فقضيه زي دي قبل كدا ؟دلوقتي عايز ارفع قضية محو عقوبة من حسن السير و السلوك بعد ما نفذتها اللي اقصده بمثالان الموظف دلوقتي لما بيتجازى بعد سنتين بتتمحيله من السجل لما بينفذهالكن القانون محددش للطالب
471,السلام عليكم .......انا واقعه في مشكله انا رافعه خلع من الإسكندرية و عندي جلسه مع تقرير الحكمين بكره الصبح و للاسف لسه عارفه انهم بيطلبوا امانه 200 ج و للاسف انا ظروفي صعبه و مقدرش ادفعهم انا رفعاها لوحدي من غير محامي و مفيش قدامي وقت لان الجلسه يوم الاربعاء و الف شكر ......
472,عايزه استشير محامي من مصر استشير  لو ممكن حد يساعدني
473,المدة المتوقعة لتداول دعوى فسخ عقد بيع ((مع التعويض)) بمحاكم القاهرة الكبرى ؛ هل هي من القضايا التي يمتد البت فيها لسنوات طويلة ..
474,السلام عليكملو واحدة كانت متجوزة عرفي وعندها ولد وبنت و هي توفيت و جوزها اللي كانت متجوزاه عرفي عايز يورث فيها بعد ما ماتت بأنه يسجل العقد العرفي ويوثقه ف الشهر العقاريهل ده ينفع ولا لا
